manufacturer,product_name,storage_type,capacity_gb,form_factor,interface,nvme
ADATA,"ADATA ED600 2.5"" External SSD/HDD Enclosure",SSD/HDD,,"2.5""",,False
ADATA,ADATA Elite SE880 1 TB External SSD,SSD,1000,"2.5""",USB 3.2 Gen 2,False
ADATA,ADATA Elite SE880 2 TB External SSD,SSD,2000,,,False
ADATA,ADATA Elite SE880 500 GB External SSD,SSD,500,,,False
ADATA,ADATA HD650 1 TB External Hard Drive,HDD,1000,,,False
ADATA,ADATA HD650 2 TB External Hard Drive,HDD,2000,"2.5""",USB 3.0,False
ADATA,"ADATA HD650 2 TB 2.5"" External Hard Drive",HDD,2000,"2.5""",SATA 6.0 Gb/s,False
ADATA,ADATA HD650 4 TB External Hard Drive,HDD,4000,,,False
ADATA,ADATA HD680 2 TB External Hard Drive,HDD,2000,"3.5""",SATA 6.0 Gb/s,False
ADATA,ADATA HD710 Pro 1 TB External Hard Drive,HDD,1000,"2.5""",USB 3.0,False
ADATA,ADATA HD710 Pro 2 TB External Hard Drive,HDD,2000,,,False
ADATA,ADATA Legend 710 256 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,SSD,256,M.2-2280,PCIe 3.0 x4,True
ADATA,ADATA Legend 710 2 TB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,SSD,2000,M.2-2280,PCIe 3.0 x4,True
ADATA,ADATA Legend 710 512 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,SSD,512,M.2-2280,PCIe 3.0 x4,True
ADATA,ADATA Legend 860 1 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,SSD,1000,M.2-2280,PCIe 4.0 x4,True
ADATA,ADATA LEGEND 860 2 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,SSD,2000,M.2-2280,PCIe 4.0 x4,True
ADATA,ADATA Legend 860 500 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,SSD,500,M.2-2280,PCIe 4.0 x4,True
ADATA,ADATA Legend 860 2 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,SSD,2000,M.2-2280,PCIe 4.0 x4,True
ADATA,ADATA Legend 970 1 TB M.2-2280 PCIe 5.0 X4 NVME Solid State Drive,SSD,1000,M.2-2280,PCIe 5.0 x4,True
ADATA,ADATA Legend 970 2 TB M.2-2280 PCIe 5.0 X4 NVME Solid State Drive,SSD,2000,M.2-2280,PCIe 5.0 x4,True
ADATA,ADATA Legend 970 4 TB M.2-2280 PCIe 5.0 X4 NVME Solid State Drive,SSD,4000,M.2-2280,PCIe 5.0 x4,True
ADATA,"ADATA SU650 1 TB 2.5"" SATA III Solid State Drive",SSD,1000,"2.5""",SATA 6.0 Gb/s,False
ADATA,"ADATA SU650 256 GB 2.5"" SATA III Solid State Drive",SSD,256,"2.5""",SATA 6.0 Gb/s,False
ADATA,"ADATA SU650 512 GB 2.5"" SATA III Solid State Drive",SSD,512,"2.5""",SATA 6.0 Gb/s,False
ASUS,ASUS ROG STRIX Arion M.2 NVMe SSD External Enclosure,SSD,,M.2-2280,USB 3.2 Gen 2 Type-C,True
ASUS,"ASUS TUF Gaming A2 Portable SSD Enclosure, Dual M.2 NVMe PCIe and SATA",SSD,,,USB-C 3.2 Gen 2×2,True
Acer,Acer Predator GM7 2 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,SSD,2000,M.2-2280,PCIe 4.0 x4,True
ADATA,ADATA HD330 1 TB External Hard Drive,HDD,1000,"2.5""",USB 3.1,False
ADATA,ADATA HD710M Pro 1 TB External Hard Drive,HDD,1000,"2.5""",USB 3.0,False
