retailer,manufacturer,product_name,category,price,url
junaidtech,AMD,AMD Ryzen 5 2600 Desktop Processor - Tray,cpu,12999.0,https://www.junaidtech.pk/product/amd-ryzen-5-2600-am4-desktop-processor-tray-chip-only
junaidtech,AMD,AMD Ryzen 5 2600X Processor - Tray,cpu,14999.0,https://www.junaidtech.pk/product/amd-ryzen-5-2600x-processor-tray
junaidtech,AMD,AMD Ryzen 3 4100 Desktop Processor - Tray,cpu,19499.0,https://www.junaidtech.pk/product/amd-ryzen-3-4100-desktop-processor-tray
junaidtech,AMD,AMD Ryzen 5 3600 Processor - Tray,cpu,20499.0,https://www.junaidtech.pk/product/amd-ryzen-5-3600-processor-tray
junaidtech,AMD,AMD Ryzen 5 1600X Processor - Tray,cpu,20999.0,https://www.junaidtech.pk/product/amd-ryzen-5-1600x-processor-tray
junaidtech,AMD,AMD Ryzen 5 4500 Desktop Processor - Tray,cpu,27499.0,https://www.junaidtech.pk/product/amd-ryzen-5-4500-desktop-processor-tray
junaidtech,Intel,Intel Core i5-10400F Processor - Tray,cpu,27499.0,https://www.junaidtech.pk/product/intel-core-i5-10400f-processor-12m-cache-up-to-4-30-ghz
junaidtech,AMD,AMD Ryzen 5 3600X Processor - Tray,cpu,27499.0,https://www.junaidtech.pk/product/amd-ryzen-5-3600x-processor-tray
junaidtech,Intel,"Intel Core 12th Gen i3-12100F Desktop Processor, Featuring PCIe Gen 5.0 & 4.0 Support, DDR5 and DDR4 Support, Discrete Graphics Required",cpu,27499.0,https://www.junaidtech.pk/product/intel-core-i3-12100f-processor
junaidtech,AMD,AMD Ryzen 5 3500x Desktop Procesor,cpu,29499.0,https://www.junaidtech.pk/product/amd-ryzen-5-3500x-desktop-procesor
junaidtech,AMD,"AMD Ryzen 5 3600 6-Core, 12-Thread Unlocked Desktop Processor with Wraith Stealth Cooler",cpu,29499.0,https://www.junaidtech.pk/product/amd-ryzen-5-3600-processor
junaidtech,Intel,Intel Core i5-11400F Processor,cpu,32999.0,https://www.junaidtech.pk/product/intel-core-i5-11400f-processor-12m-cache-up-to-4-40-ghz
