retailer,manufacturer,product_name,category,price,url
junaidtech,Asus,Asus GeForce GT 730 2GB Graphics Card,gpu,14999.0,https://www.junaidtech.pk/product/asus-geforce-gt-730-2gb-graphics-card
junaidtech,MSI,MSI Gaming GeForce GT 710 2GB GDRR3 64-bit HDCP Support DirectX 12 OpenGL 4.5 Heat Sink Low Profile Graphics Card,gpu,16999.0,https://www.junaidtech.pk/product/msi-gaming-gt-710-2gd3h-lp-graphics-card
junaidtech,MSI,"MSI Gaming GeForce GT 710 2GB GDRR3 64-bit HDCP Support DirectX 12 Heat Sink Low Profile Graphics Card, 4x HDMI 1.4a",gpu,17499.0,https://www.junaidtech.pk/product/msi-gaming-gt-710-2gd3h-4hdmi-graphics-card
junaidtech,Ease,Ease GeForce GT740 4GB Graphics Card,gpu,18999.0,https://www.junaidtech.pk/product/ease-gt740-4gb-graphics-card
junaidtech,Ease,Ease GeForce GT730 4GB Graphics Card,gpu,19499.0,https://www.junaidtech.pk/product/ease-gt730-4gb-graphics-card
junaidtech,MSI,MSI GeForce GT 730 Fermi DDR3 4GB DirectX 12 Graphics Card,gpu,20499.0,https://www.junaidtech.pk/product/msi-n730-4gd3v2-graphics-card
junaidtech,Colorful,Colorful GT 1030 2GB V5-V GDDR5 Graphics Card,gpu,23499.0,https://www.junaidtech.pk/product/colorful-gt-1030-2gb-v5-v-gddr5-graphics-card
junaidtech,Sapphire,Sapphire Pulse AMD Radeon RX 6500 XT Gaming OC 4GB Graphics Card - Factory Refurbished,gpu,34999.0,https://www.junaidtech.pk/product/sapphire-pulse-rx-6500-xt-gaming-oc-4gb-graphics-card-factory-refurbished
junaidtech,Colorful,Colorful GeForce GTX 1630 NB 4GD6-V 4GB Graphics Card,gpu,36999.0,https://www.junaidtech.pk/product/colorful-geforce-gtx-1630-nb-4gd6-v-4gb-graphics-card
junaidtech,Ease,Ease RX 580 8GB Graphics Card,gpu,37999.0,https://www.junaidtech.pk/product/ease-rx-580-8gb-graphics-card
junaidtech,Colorful,Colorful GeForce GTX 1050 Ti 4GB GDDR5 NVIDIA Gaming Graphics Card,gpu,38999.0,https://www.junaidtech.pk/product/colorful-geforce-gtx1050ti-4g-v-gaming-graphics-card
junaidtech,Asus,Asus Phoenix AMD Radeon RX 550 4GB Graphics Card,gpu,40999.0,https://www.junaidtech.pk/product/asus-phoenix-rx-550-4gb-graphics-card
