retailer,manufacturer,product_name,category,price,url
junaidtech,Logitech,Logitech H110 Wired Stereo Headset with Dual 3.5mm Plugs,headphones,2249.0,https://www.junaidtech.pk/product/logitech-h110-wired-stereo-headset-with-dual-3-5mm-plugs
junaidtech,Logitech,"Logitech H111 Wired Headset, Stereo Headphones with Noise-Cancelling Microphone, 3.5 mm Audio Jack, PC/Mac/Laptop/Smartphone/Tablet - Black",headphones,2299.0,https://www.junaidtech.pk/product/logitech-h111-stereo-business-headset
junaidtech,Redragon,Redragon Ares H120 Gaming Headset,headphones,3249.0,https://www.junaidtech.pk/product/redragon-ares-h120-gaming-headset
junaidtech,Ease,Ease EHU40 USB Headset,headphones,3599.0,https://www.junaidtech.pk/product/ease-ehu40-usb-headset
junaidtech,Redragon,Redragon Ares RGB H120 Gaming Headset,headphones,3849.0,https://www.junaidtech.pk/product/redragon-ares-rgb-h120-wired-gaming-headset
junaidtech,Logitech,Logitech H151 Stereo Headset with Noise-Canceling Boom Mic,headphones,3849.0,https://www.junaidtech.pk/product/logitech-h151-stereo-headset-with-noise-canceling-boom-mic
junaidtech,Ease,Ease EHU90 USB Headset,headphones,3899.0,https://www.junaidtech.pk/product/ease-ehu90-usb-headset
junaidtech,Astro,"Astro A10 Gen 2 Wired Gaming Headset, Over-Ear Gaming Headphones with Flip-to-Mute Microphone, 32mm Drivers, Compatible with Playstation, Xbox, PC - White (Without Box)",headphones,3999.0,https://www.junaidtech.pk/product/astro-a10-gen-2-wired-gaming-headset-white-without-box
junaidtech,Astro,"Astro A10 Gen 2 Black Wired Gaming Headset, Over-Ear Gaming Headphones, Lightweight & Damage Resistant, Flip-to-Mute Microphone, 32mm Drivers, Compatible with PS5, PS4, Nintendo Switch, PC - Without Box",headphones,3999.0,https://www.junaidtech.pk/product/astro-a10-gen-2-black-wired-gaming-headset-brown-box
junaidtech,Logitech,Logitech H150 Stereo Headset - Blue,headphones,3999.0,https://www.junaidtech.pk/product/logitech-h150-stereo-headset-blue
junaidtech,Awei,"Awei A997BL Bluetooth Over Ear Headphones, Over Ear Headphones Easy to Fold and Store Can be Used for 15 Hours Hi-Res Audio, Deep Bass, Memory Foam Ear Cups, for Travel Home Office Cellphone PC",headphones,4299.0,https://www.junaidtech.pk/product/awei-a997bl-bluetooth-over-ear-headphones
junaidtech,Bloody,Bloody G230P Stereo Surround Sound RGB Gaming Headset - Black,headphones,4499.0,https://www.junaidtech.pk/product/bloody-g230p-rgb-gaming-headset-black
