retailer,manufacturer,product_name,category,price,url
junaidtech,Redragon,Redragon GM93 Athan Wireless Lavalier ANC Microphone,microphone,3249.0,https://www.junaidtech.pk/product/redragon-gm93-athan-wireless-lavalier-microphone
junaidtech,HP,HP DHP-1100C RGB Microphone,microphone,4199.0,https://www.junaidtech.pk/product/hp-dhp-1100c-microphone
junaidtech,Boya,Boya BY-M1 PRO Professional Lavalier Lapel Microphone Noise Reduction Omnidirectional Mic with Clip for YouTube Interview Broadcast Content Creation Compatible for Smartphone & DSLR Camera (6M),microphone,4499.0,https://www.junaidtech.pk/product/boya-bym1-pro-lavalier-lapel-microphone
junaidtech,Boya,"Boya BY-M1DM Dual Lavalier Universal Auxiliary Microphone With A Single 1/8 Stereo Connector For Smartphones Dslr Cameras Camcorders, Black, For Action Cameras With Cleaning Cloth",microphone,4499.0,https://www.junaidtech.pk/product/boya-bym1dm-dual-lavalier-microphone
junaidtech,Boya,"Boya BY-MM1 Universal Camera Microphone Super-Cardioid Shotgun Microphone with Shock Mount for Camera, Consumer, Camcorder iPhone, Android Smartphones",microphone,4699.0,https://www.junaidtech.pk/product/boya-by-mm1-universal-camera-microphone
junaidtech,Ugreen,Ugreen USB Desktop Computer Microphone,microphone,5499.0,https://www.junaidtech.pk/product/ugreen-usb-desktop-microphone
junaidtech,Boya,"Boya BY-M2 Universal Lavalier Microphone Clip-on Digital Omnidirectional Microphone with Detachable Lightning Cable for iOS devices, Smartphones and Cameras",microphone,6499.0,https://www.junaidtech.pk/product/boya-bym2-universal-lavalier-microphone
junaidtech,Maono,"Maono Wave T1 Mini Wireless Lavalier Microphone for iPhone 17 16 15 & Android with USB-C Plug, Noise Cancellation, AI Voice Filter, 30H Used with Charging Case for Video Recording TikTok YouTube",microphone,8499.0,https://www.junaidtech.pk/product/maono-wave-t1-mini-wireless-lavalier-microphone-pc2
junaidtech,Redragon,Redragon Seyfert GM100 Professional Gaming Microphone with Pop Filter (3.5mm Connection),microphone,9899.0,https://www.junaidtech.pk/product/redragon-seyfert-gm100-gaming-microphone
junaidtech,Redragon,Redragon GM212 Adne RGB Streaming Microphone,microphone,9999.0,https://www.junaidtech.pk/product/redragon-gm212-adne-streaming-microphone
junaidtech,Fantech,"Fantech Leviosa MCX01 RGB USB Condenser Gaming Streaming Microphone for PC, PS4, PS5 and Mac",microphone,11499.0,https://www.junaidtech.pk/product/fantech-leviosa-mcx01-gaming-microphone
junaidtech,Redragon,Redragon GM305 Echowave RGB Streaming Microphone,microphone,11499.0,https://www.junaidtech.pk/product/redragon-gm305-echowave-microphone
