retailer,manufacturer,product_name,category,price,url
junaidtech,Ease,Ease EM100 Wired Optical Mouse,mouse,849.0,https://www.junaidtech.pk/product/ease-em100-wired-optical-mouse
junaidtech,Ease,Ease EM110 Wired Mouse,mouse,949.0,https://www.junaidtech.pk/product/ease-em110-wired-mouse
junaidtech,Ease,Ease EM120 Wired Optical Mouse,mouse,1049.0,https://www.junaidtech.pk/product/ease-em120-wired-optical-mouse
junaidtech,Ease,Ease EM140 Wired Optical Mouse,mouse,1149.0,https://www.junaidtech.pk/product/ease-em140-wired-optical-mouse
junaidtech,Redragon,Redragon BM-4049 Wired Mouse,mouse,1249.0,https://www.junaidtech.pk/product/redragon-bm4049-wired-mouse
junaidtech,Logitech,"Logitech B100 Wired Mouse for Computer and Laptop, USB Corded Mouse, Right or Left Hand Use - Black",mouse,1299.0,https://www.junaidtech.pk/product/logitech-b100-optical-usb-mouse
junaidtech,Ease,Ease EGM100 Pro Gaming Mouse,mouse,1499.0,https://www.junaidtech.pk/product/ease-egm100-pro-gaming-mouse
junaidtech,Ease,Ease EM210 USB Wireless Mouse,mouse,1699.0,https://www.junaidtech.pk/product/ease-em210-usb-wireless-mouse
junaidtech,Ease,Ease EM200 Wireless Mouse,mouse,1699.0,https://www.junaidtech.pk/product/ease-em200-wireless-mouse
junaidtech,Boost,Boost Prime RGB Wireless Office Mouse,mouse,1749.0,https://www.junaidtech.pk/product/boost-prime-wireless-office-mouse
junaidtech,Fantech,"Fantech Rhasta II G13 Gaming Mouse, Optic Sensor, 2400 DPI Resolution, Ambidextrous Design, RGB Lights, Silicone & Rubber Scroll Wheel, 1.8m Cable, Black",mouse,1799.0,https://www.junaidtech.pk/product/fantech-rhasta-ii-g13-gaming-mouse
junaidtech,Aula,"Aula Mountain S11 Wired Gaming Mouse, Ultra-Lightweight Honeycomb Computer Mice with RGB Backlit, 3600 DPI Optical Sensor, 1.5m Cable Length USB Computer Mouse for Desktop & PC Gamers (Black)",mouse,1899.0,https://www.junaidtech.pk/product/aula-mountain-s11-wired-gaming-mouse
