retailer,manufacturer,product_name,category,price,url
junaidtech,HP,HP DHS-2111 Wired 6W Speaker,speakers,3299.0,https://www.junaidtech.pk/product/hp-dhs-2111-wired-speaker
junaidtech,HP,HP DHE-6000 2.0 Stereo RGB Gaming Speaker,speakers,3699.0,https://www.junaidtech.pk/product/hp-dhe-6000-2-0-stereo-rgb-gaming-speaker
junaidtech,Boost,Boost Boombastic RGB Wireless Bluetooth Speaker,speakers,3999.0,https://www.junaidtech.pk/product/boost-boombastic-wireless-speaker
junaidtech,Redragon,Redragon GS513 Ranch PC Gaming Speaker,speakers,4349.0,https://www.junaidtech.pk/product/redragon-gs513-ranch-gaming-speaker
junaidtech,HP,HP DHS-4200 Sound Bar Speaker,speakers,4749.0,https://www.junaidtech.pk/product/hp-dhs-4200-speaker
junaidtech,HP,HP DHS-2111S Stereo 2.1 Multimedia Wired Speaker,speakers,5799.0,https://www.junaidtech.pk/product/hp-dhs-2111s-stereo-2-1-multimedia-wired-speaker
junaidtech,Redragon,"Redragon GS522 Cipher Computer Speakers, 2.0 Hi-Fi Stereo Sound PC Speaker, 6 Colorful RGB Mode Touch Desktop Speakers with USB, 3.5mm Aux-in Cable for PC, Laptop, Tablet, Phone, Xbox, PS4/5",speakers,6199.0,https://www.junaidtech.pk/product/redragon-gs522-computer-speakers
junaidtech,Redragon,"Redragon GS550 PC Gaming Speakers, 2.0 Channel Desktop Computer Sound Bar with Compact Maneuverable Size, Headphone Jack, Quality Bass & Decent Red Backlit, USB Powered w/ 3.5mm Cable",speakers,6299.0,https://www.junaidtech.pk/product/redragon-gs550-gaming-speakers
junaidtech,Redragon,"Redragon GS515 Neo RGB Desktop Soundbar, 2.0 Channel Stereo Computer Speakers for Desktop with Bluetooth 5.3, USB-C/USB Powered, Black",speakers,7999.0,https://www.junaidtech.pk/product/redragon-gs515-neo-rgb-soundbar
junaidtech,Redragon,"Redragon GS570 Darknets RGB Wireless Bluetooth Sound Bar Speaker, 2.0 Channel, Dual Speakers, Dynamic Lighting, Black",speakers,8299.0,https://www.junaidtech.pk/product/redragon-gs570-darknets-rgb-sound-bar-black
junaidtech,Twisted,Twisted Minds TM-Q6 RGB Wireless Gaming Soundbar,speakers,8999.0,https://www.junaidtech.pk/product/twisted-minds-tm-q6-gaming-soundbar
junaidtech,Redragon,Redragon GS560 Adiemus RGB Desktop Gaming Soundbar - White,speakers,9349.0,https://www.junaidtech.pk/product/redragon-gs560-adiemus-gaming-soundbar-white
