retailer,manufacturer,product_name,category,price,url
junaidtech,KingSpec,"KingSpec P3 128GB 2.5"" SATA SSD",ssd,4999.0,https://www.junaidtech.pk/product/kingspec-p3-series-128gb-sata-ssd
junaidtech,Transcend,Transcend 110S 128GB M.2 PCIe SSD,ssd,6799.0,https://www.junaidtech.pk/product/transcend-110s-128gb-m-2-pcie-ssd
junaidtech,HikSemi,"HikSemi Wave(S) 128GB 2.5"" SATA Internal SSD",ssd,8199.0,https://www.junaidtech.pk/product/hiksemi-waves-128gb-sata-ssd
junaidtech,Patriot,"Patriot P210 256GB 2.5"" SATA SSD",ssd,9999.0,https://www.junaidtech.pk/product/patriot-p210-256gb-ssd-2-5-sata
junaidtech,Lexar,Lexar NS100 128GB 2.5” SATA SSD,ssd,10499.0,https://www.junaidtech.pk/product/lexar-ns100-128gb-sata-ssd
junaidtech,HikSemi,"HikSemi Wave(S) 256GB 2.5"" SATA Internal SSD",ssd,11799.0,https://www.junaidtech.pk/product/hiksemi-waves-256gb-sata-internal-ssd
junaidtech,Adata,"Adata Ultimate SU650 256GB 2.5"" SATA SSD",ssd,12999.0,https://www.junaidtech.pk/product/adata-ultimate-su650-256gb-sata-ssd
junaidtech,Adata,"Adata Legend 710 256GB SSD M.2 PCIe Gen3 x4 M.2 2280 Solid State Drive, Design for Creator Gaming, Read Speed up to 2,100 MB/s, 3D NAND, LDPC, AES 256-bit Encryption",ssd,13799.0,https://www.junaidtech.pk/product/adata-legend-710-256gb-nvme-ssd
junaidtech,Transcend,"Transcend 225S 250GB 2.5"" SATA SSD",ssd,13999.0,https://www.junaidtech.pk/product/transcend-225s-250gb-sata-ssd
junaidtech,Transcend,Transcend 115S 250GB M.2 NVMe SSD,ssd,14499.0,https://www.junaidtech.pk/product/transcend-115s-250gb-nvme-ssd
junaidtech,Lexar,"Lexar NQ100 240GB SSD 2.5 Inch SATA III Internal Solid State Drive, Up to 550MB/s Read, Gray",ssd,14499.0,https://www.junaidtech.pk/product/lexar-nq100-240gb-ssd
junaidtech,HikSemi,HikSemi Wave(P) 256GB M.2 PCIe 3.0 NVMe SSD,ssd,14699.0,https://www.junaidtech.pk/product/hiksemi-wavep-256gb-nvme-ssd
