retailer,manufacturer,product_name,category,price,url
junaidtech,Cooler,Cooler Master Thermal Pad - 0.5mm,thermal_paste,1099.0,https://www.junaidtech.pk/product/cooler-master-thermal-pad-0-5mm
junaidtech,Cooler,Cooler Master Thermal Pad - 1.0mm,thermal_paste,1399.0,https://www.junaidtech.pk/product/cooler-master-1-0mm-thermal-pad
junaidtech,AeroCool,AeroCool Baraf-S 2g Thermal Paste,thermal_paste,1449.0,https://www.junaidtech.pk/product/aerocool-baraf-s-2g-thermal-paste
junaidtech,Thermal,"Thermal Grizzly Aeronaut High Performance Thermal Paste, Ideal Entry Level Thermal Paste, Compatible with Most Cooling Solutions CPU/GPU/PS4/PS5/Xbox - 1 Gram",thermal_paste,1499.0,https://www.junaidtech.pk/product/thermal-grizzly-aeronaut-thermal-paste-1-grams
junaidtech,Polartherm,"Polartherm X-8 by Thermal Grizzly - 2 Grams CPU Thermal Paste for CPU & GPU - High Thermal Conductivity, Long Durability, Non-Conductive Thermal Grease - Thermal Compound Kit with Spatula",thermal_paste,1499.0,https://www.junaidtech.pk/product/polartherm-x8-by-thermal-grizzly-2-grams-thermal-paste
junaidtech,Cooler,Cooler Master High Performance Thermal Paste,thermal_paste,1499.0,https://www.junaidtech.pk/product/cooler-master-high-performance-thermal-paste
junaidtech,Polartherm,"Polartherm X-10 by Thermal Grizzly - 2 Grams CPU Thermal Paste for CPU & GPU - High Thermal Conductivity, Long Durability, Non-Conductive Thermal Grease - Thermal Compound Kit with Spatula",thermal_paste,1749.0,https://www.junaidtech.pk/product/polartherm-x10-2-grams-thermal-paste
junaidtech,Cooler,Cooler Master Thermal Pad - 1.5mm,thermal_paste,1799.0,https://www.junaidtech.pk/product/1-5mm-cooler-master-thermal-pad
junaidtech,Thermalright,"Thermalright TFX 2g Thermal Paste Heat Sink Compound 14.3W/m.k, 2 Grams, Graphic Card CPU Thermal Grease, Laptop Thermal Grease",thermal_paste,1899.0,https://www.junaidtech.pk/product/thermalright-tfx-2g-thermal-paste
junaidtech,Cooler,Cooler Master Thermal Pad - 2.0mm,thermal_paste,2099.0,https://www.junaidtech.pk/product/cooler-master-thermal-pad-thickness-2-0mm
junaidtech,ID-Cooling,ID-Cooling Frost PTM-2 Thermal Pad,thermal_paste,2149.0,https://www.junaidtech.pk/product/id-cooling-frost-ptm-2-thermal-pad
junaidtech,ID-Cooling,ID-Cooling Frost X45 Thermal Paste - 4g,thermal_paste,2149.0,https://www.junaidtech.pk/product/id-cooling-frost-x45-thermal-paste-4g
