retailer,manufacturer,product_name,category,price,url
techarc,AMD,AMD Ryzen 5 3600 3.6 GHz (4.2 GHz Max Boost) Six-Core AM4 Processor – Tray,cpu,19900.0,https://techarc.pk/amd-ryzen-5-3600-3-6-ghz-4-2-ghz-max-boost-six-core-am4-processor/
techarc,AMD,AMD Ryzen 5 5600 3.5GHz 6-Core AM4 Processor – Tray,cpu,36900.0,https://techarc.pk/amd-ryzen-5-5600-3-5ghz-6-core-am4-boxed-processor-chip/
techarc,AMD,AMD Ryzen 5 5600X 3.7GHz Six-Core AM4 Processor – Tray,cpu,38900.0,https://techarc.pk/amd-ryzen-5-5600x-am4-processor-chip/
techarc,AMD,AMD Ryzen 5 7500F Zen 4 Desktop Processor – Tray,cpu,44800.0,https://techarc.pk/amd-ryzen-5-7500f-processor-price-in-pakistan/
techarc,AMD,AMD Ryzen 5 7600X 6-Core 4.7 GHz Socket AM5 Processor – Tray,cpu,62000.0,https://techarc.pk/amd-ryzen-5-7600x-6-core-4-7-ghz-socket-am5-processor/
techarc,AMD,"AMD Ryzen 5 8400F 6-Core, 12-Thread Gaming Desktop Processor – Tray",cpu,32900.0,https://techarc.pk/amd-ryzen-7-5700x3d-8-core-16-thread-processor-tray/
techarc,AMD,"AMD Ryzen 5 9600X 6-Core, 12-Thread Unlocked Gaming Desktop Processor – Tray",cpu,72500.0,https://techarc.pk/amd-ryzen-5-9600x-6-core-12-thread-processor-tray/
techarc,AMD,"AMD Ryzen 7 7700 8-Core, 16-Thread Unlocked Desktop Processor – Tray",cpu,64900.0,https://techarc.pk/amd-ryzen-7-7700-8-core-16-thread-desktop-processor/
techarc,AMD,"AMD Ryzen 7 7800X3D 8-Core, 16-Thread Gaming Desktop Processor – Tray",cpu,102500.0,https://techarc.pk/amd-ryzen-7-7800x3d-processor-price-in-pakistan/
techarc,AMD,"AMD Ryzen 7 9800X3D 8-Core, 16-Thread Gaming Desktop Processor – Tray",cpu,134000.0,https://techarc.pk/amd-ryzen-7-9800x3d-8-16-gaming-desktop-processor/
techarc,AMD,"AMD Ryzen 9 9950X 16-Core, 32-Thread Desktop Gaming Processor – Tray",cpu,164000.0,https://techarc.pk/amd-ryzen-9-9950x-gaming-processor-tray/
techarc,Intel,Intel Core i5-12400F – 12th Gen Alder Lake 6-Core 2.5 GHz Processor – Tray,cpu,45000.0,https://techarc.pk/intel-core-i5-12400f-processor-price-in-pakistan/
techarc,Intel,"Intel Core i5-13400F Desktop Processor 10 cores (6 P-cores + 4 E-cores) 20MB Cache, up to 4.6 GHz – Tray",cpu,47000.0,https://techarc.pk/intel-core-i5-13400f-desktop-processor/
techarc,Intel,Intel Core i5-14400F Gaming Desktop Processor 10 Cores (6 P-cores + 4 E-cores) up to 4.7 GHz – Tray,cpu,53200.0,https://techarc.pk/intel-core-i5-14400f-gaming-desktop-processor/
techarc,Intel,"Intel Core i7-14700K Gaming Desktop Processor 33M Cache, up to 5.60 GHz",cpu,119000.0,https://techarc.pk/intel-core-i7-14700k-gaming-desktop-processor/
techarc,Intel,"Intel Core Ultra 5 245K Desktop Processor, 14 cores (6 P-cores + 8 E-cores), 14 threads, Up to 5.2 GHz Unlocked",cpu,77500.0,https://techarc.pk/intel-core-ultra-5-245k-desktop-processor/
techarc,Intel,"Intel Core Ultra 7 265 Desktop Processor, 20 cores (8 P-cores + 12 E-cores), 20 threads, Up to 5.3 GHz Unlocked",cpu,95400.0,https://techarc.pk/intel-core-ultra-7-265-desktop-processor/
techarc,Intel,"Intel Core Ultra 7 265F Desktop Processor, 20 cores (8 P-cores + 12 E-cores), 20 threads, Up to 5.3 GHz Unlocked",cpu,91800.0,https://techarc.pk/intel-core-ultra-7-265f-desktop-processor/
techarc,Intel,"Intel Core Ultra 7 265K Desktop Processor, 20 cores (8 P-cores + 12 E-cores), 20 threads, Up to 5.5 GHz Unlocked",cpu,99800.0,https://techarc.pk/intel-core-ultra-7-265k-desktop-processor/
techarc,Intel,"Intel Core Ultra 9 285 Desktop Processor, 24 cores (8 P-cores + 16 E-cores), 24 threads, Up to 5.6 GHz Unlocked",cpu,154900.0,https://techarc.pk/intel-core-ultra-9-285-desktop-processor/
techarc,Intel,"Intel Core Ultra 9 285K Desktop Processor, 24 cores (8 P-cores + 16 E-cores), 24 threads, Up to 5.7 GHz Unlocked",cpu,158900.0,https://techarc.pk/intel-core-ultra-9-285k-desktop-processor/
