retailer,manufacturer,product_name,category,price,url
techarc,ASTRO,"ASTRO Gaming A50 Wireless Headset + Base Station Gen 4 – Compatible With PS5, PS4, PC, Mac – Black/Silver",headphones,29999.0,https://techarc.pk/astro-gaming-a50-wireless-headset-base-station-gen-4/
techarc,ASUS,"ASUS ROG Delta S Core Wired Gaming Headset (Lightweight 270g), 7.1 Surround Sound, 50mm Drivers, Discord Certified Mic",headphones,29400.0,https://techarc.pk/asus-rog-delta-s-core-wired-gaming-headset/
techarc,ASUS,ASUS ROG Delta S Wireless Gaming Headset,headphones,42200.0,https://techarc.pk/asus-rog-delta-s-wireless-gaming-headset/
techarc,Asus,Asus TUF Gaming H1 Wireless Headset,headphones,21800.0,https://techarc.pk/asus-tuf-gaming-h1-wireless-headset/
techarc,ATTACK,ATTACK SHARK L90 Foldable RGB Ultra-Light Tri-Mode Gaming Headset – Black,headphones,10900.0,https://techarc.pk/attack-shark-l90-foldable-rgb-ultra-light-headset-bk/
techarc,Bloody,Bloody G575 Virtual 7.1 Surround Sound Gaming Headphone,headphones,5900.0,https://techarc.pk/bloody-g575-7-1-gaming-headphone/
techarc,Boost,Boost Groove Bluetooth Headphone,headphones,3000.0,https://techarc.pk/boost-groove-bluetooth-headphone/
techarc,Boost,"Boost Sync Wireless Headset, Type C, Up to 70 Hours Play Time, IPX4, BT 5.4, 40mm Neodymium, AUX Cable, Matte Black",headphones,8400.0,https://techarc.pk/boost-sync-wireless-headset-matte-black/
techarc,Boost,"Boost Sync Wireless Headset, Type C, Up to 70 Hours Play Time, IPX4, BT 5.4, 40mm Neodymium, AUX Cable, Midnight Blue",headphones,8400.0,https://techarc.pk/boost-sync-wireless-headset-midnight-blue/
techarc,Boost,"Boost Wave Wireless Headset, Type C, Up to 80 Hours Play Time, IPX4, Game Mode, BT 5.4, 40mm Neodymium, AUX Cable, Matte Black",headphones,10450.0,https://techarc.pk/boost-wave-wireless-headset-matte-black/
techarc,Boost,"Boost Wave Wireless Headset, Type C, Up to 80 Hours Play Time, IPX4, Game Mode, BT 5.4, 40mm Neodymium, AUX Cable, Midnight Blue",headphones,10450.0,https://techarc.pk/boost-wave-wireless-headset-midnight-blue/
techarc,DEXP,DEXP H-353 Storm Pro V2 Wired RGB Gaming Headset – Black,headphones,3400.0,https://techarc.pk/dexp-h-353-storm-pro-v2-rgb-gaming-headset-bk/
techarc,HyperX,"HyperX Cloud Alpha S – Gaming Headset, 7.1 Surround Sound",headphones,29800.0,https://techarc.pk/hyperx-cloud-alpha-s-headset/
techarc,HyperX,HyperX Cloud III – Wired Gaming Headset,headphones,24500.0,https://techarc.pk/hyperx-cloud-iii-wired-gaming-headset/
techarc,HyperX,HyperX Cloud III – Wired Gaming Headset – Black/Red,headphones,24500.0,https://techarc.pk/hyperx-cloud-iii-wired-gaming-headset-black-red/
techarc,HyperX,HyperX Cloud Mini Wireless Gaming Headset for Kids – Black,headphones,12400.0,https://techarc.pk/hyperx-cloud-mini-wireless-gaming-headset-black/
techarc,HyperX,HyperX Cloud Mini Wireless Gaming Headset for Kids – White,headphones,12400.0,https://techarc.pk/hyperx-cloud-mini-wireless-gaming-headset-for-kids-wh/
techarc,HyperX,"HyperX Cloud Stinger 2 Core – PC Gaming Headset, Lightweight Over-Ear Headset with mic, Swivel-to-Mute mic Function, DTS Headphone:X Spatial Audio, 40mm Drivers, Black",headphones,11400.0,https://techarc.pk/hyperx-cloud-stinger-2-core-pc-gaming-headset-lightweight-over-ear-headset-with-mic-swivel-to-mute-mic-function-dts-headphonex-spatial-audio-40mm-drivers-black/
techarc,HyperX,"HyperX Cloud Stinger 2 Gaming Headset, DTS Headphone: X Spatial Audio, Lightweight Over-Ear Headset with mic, Swivel-to-Mute Function, 50mm Drivers, PC Compatible",headphones,15400.0,https://techarc.pk/hyperx-cloud-stinger-2-gaming-headset-dts-headphone-x-spatial-audio-lightweight-over-ear-headset-with-mic-swivel-to-mute-function-50mm-drivers-pc-compatible/
techarc,HyperX,HyperX Cloud Stinger 2 Wireless Gaming Headset,headphones,24000.0,https://techarc.pk/hyperx-cloud-stinger-2-wireless-gaming-headset/
techarc,Logitech,"Logitech G PRO X SE Wired Gaming Headset with Microphone, Detachable Mic, DTS Headphone:X 7.1, Memory Foam Ear Pads, 50 mm Drivers, USB DAC Incl., for PC, Xbox One, Xbox Series X|S, PS5, PS4",headphones,25800.0,https://techarc.pk/logitech-g-pro-x-se-wired-gaming-headset-with-mic-bk/
techarc,Logitech,Logitech G PRO X Wired Gaming Headset with Blue Voice,headphones,30800.0,https://techarc.pk/logitech-g-pro-x-wired-gaming-headset/
techarc,Logitech,Logitech G321 LIGHTSPEED Wireless Gaming Headset – Black,headphones,15800.0,https://techarc.pk/logitech-g321-lightspeed-wireless-gaming-headset-bk/
