retailer,manufacturer,product_name,category,price,url
techarc,ASUS,ASUS M601 ROG Falchion Wireless 65% Mechanical Gaming Keyboard – MX Red,keyboard,39300.0,https://techarc.pk/asus-m601-rog-falchion-wireless-keyboard/
techarc,ASUS,ASUS M602 ROG Falchion Ace Gaming Mechanical Keyboard for PC | 65% Compact Size | Pre-Lubed NX Red Switches | Switch Stabilizer | PBT Doubleshot Keycaps | Sound-Dampening | Interactive Touch Panel | Dual Type-C Ports | Black,keyboard,28300.0,https://techarc.pk/asus-m602-rog-falchion-ace-gaming-mechanical-for-pc/
techarc,ASUS,"ASUS RA04 TUF Membrane Gaming Keyboard for PC – TUF K1 | Programmable, Onboard Memory | Dedicated Volume Knob, Aura Sync RGB & Side Lighting | Detachable Wrist Rest | Spill-Resistant | Highly Durable | Black",keyboard,11300.0,https://techarc.pk/asus-tuf-membrane-gaming-keyboard-for-pc-tuf-k1/
techarc,ASUS,"ASUS RA05 TUF K3 Gaming Mechanical Keyboard for PC | Programmable Onboard Memory | Dedicated Media Controls, Aura Sync RGB Lighting | Detachable Magnetic Wrist Rest | Highly Durable | Linear Red Switches | Black",keyboard,20300.0,https://techarc.pk/asus-ra05-tuf-k3-gaming-mechanical-keyboard-for-pc/
techarc,ASUS,"ASUS ROG Azoth 75% Wireless DIY Custom Gaming Keyboard, OLED Display, Three-Layer Dampening, Hot-Swappable ROG NX Red Switches & Keyboard Stabilizers, PBT Keycaps, RGB – Black",keyboard,64800.0,https://techarc.pk/asus-rog-azoth-75-wireless-diy-custom-gaming-keyboard-rd/
techarc,ASUS,"ASUS ROG Azoth 75% Wireless DIY Custom Gaming Keyboard, OLED Display, Three-Layer Dampening, Hot-Swappable ROG NX Snow Linear Switches & Keyboard Stabilizers, PBT Keycaps, RGB – Black",keyboard,64800.0,https://techarc.pk/asus-rog-azoth-75-wireless-diy-custom-gaming-keyboard-sw/
techarc,ASUS,"ASUS ROG Azoth Extreme 75% Custom Gaming Keyboard, Aluminum Chassis, Carbon Fiber Positioning Plate, Adjustable Gasket Mount, Three-Layer Dampening, Color OLED Touchscreen, ROG NX Snow Switches, PBT Keycaps – Black",keyboard,124800.0,https://techarc.pk/asus-rog-azoth-extreme-75-custom-gaming-keyboard-bk/
techarc,ASUS,"ASUS ROG Azoth X M704 Tri-mode Gaming Keyboard, ROG NX Snow V2 Mechanical Switches – Stellar",keyboard,68800.0,https://techarc.pk/asus-rog-azoth-x-m704-tri-mode-gaming-keyboard-st/
techarc,ASUS,ASUS ROG Claymore II Modular TKL 80%/100% Gaming Mechanical Keyboard,keyboard,64800.0,https://techarc.pk/asus-rog-claymore-ii-modular-tkl-80-100-gaming-mechanical-keyboard/
techarc,ASUS,"ASUS ROG Falcata M703 Tri-mode Gaming Keyboard, 8K Polling Rate, Rapid Trigger, ROG HFX V2 Magnetic Switches – Black",keyboard,78800.0,https://techarc.pk/asus-rog-falcata-m703-tri-mode-gaming-keyboard/
techarc,ASUS,"ASUS ROG Falchion Ace HFX 65% Gaming Keyboard with ROG HFX Magnetic Switches, Rapid Trigger Toggle, 8000Hz Polling Rate, Three-layer Dampening Foam, Silicone Gasket Mount, Touch Panel and Protective Cover",keyboard,49800.0,https://techarc.pk/asus-rog-falchion-ace-hfx-65-gaming-keyboard/
techarc,ASUS,"ASUS ROG Falchion RX Low Profile 65% Wireless Gaming Keyboard with ROG RX Red Low-Profile switches, tri-Mode Connection with ROG SpeedNova, Silicone dampening Foam, Touch Panel, and MacOS Support.",keyboard,39400.0,https://techarc.pk/asus-rog-falchion-rx-low-profile-65-wireless-gaming-keyboard/
