retailer,manufacturer,product_name,category,price,url
techarc,Arozzi,Arozzi Colonna USB Microphone for Streaming and Gaming – Black,microphone,18500.0,https://techarc.pk/arozzi-colonna-usb-microphone-for-streaming-and-gaming-black/
techarc,Arozzi,Arozzi SFERA USB Streaming Microphone – Black,microphone,13000.0,https://techarc.pk/arozzi-sfera-usb-streaming-microphone-black/
techarc,Arozzi,Arozzi SFERA USB Streaming Microphone – Red,microphone,10500.0,https://techarc.pk/arozzi-sfera-usb-streaming-microphone-red/
techarc,ASUS,"ASUS C501 ROG Carnyx USB Gaming Microphone (25mm Condenser Capsule, 192kHz/24-bit, Cardioid, high-Pass Filter, Built-in pop Filter, Metal Shock Mount, one-Touch Mute, USB, Aura Sync RGB) – Black",microphone,48500.0,https://techarc.pk/asus-rog-carnyx-usb-gaming-microphone-price-in-pakistan/
techarc,ASUS,"ASUS C501 ROG Carnyx USB Gaming Microphone (25mm Condenser Capsule, 192kHz/24-bit, Cardioid, high-Pass Filter, Built-in pop Filter, Metal Shock Mount, one-Touch Mute, USB, Aura Sync RGB) – White",microphone,48500.0,https://techarc.pk/asus-c501-rog-carnyx-usb-gaming-microphone-white/
techarc,HyperX,"HyperX QuadCast 2 – USB Microphone for Gaming, Streaming and Podcasting, with On-Board Controls, LED Lighting, Removable Shock Mount, PC, Mac, PS5, PS4, USB-C – Black",microphone,34500.0,https://techarc.pk/hyperx-quadcast-2-usb-microphone-for-gaming-streaming-and-podcasting-with-on-board-controls-led-lighting-removable-shock-mount-pc-mac-ps5-ps4-usb-c-black/
techarc,Logitech,Logitech Expansion Mic for MeetUp – Black,microphone,55900.0,https://techarc.pk/logitech-expansion-mic-for-meetup-black/
techarc,Logitech,Logitech Group Expansion Mics for Large Meetings – Black,microphone,71800.0,https://techarc.pk/logitech-group-expansion-mics-for-large-meetings-black/
techarc,MSI,"MSI IMMERSE GV60 Streaming Microphone, Plug & Play, 24bit/96kHz, 4D Pickup, For Singing, Podcasts, Interviews, Meetings, Gaming, Zero-latency, Built-in 3.5mm, 3m USB Cable, Dedicated Dials with Mic Mute Button",microphone,38400.0,https://techarc.pk/msi-immerse-gv60-streaming-microphone/
techarc,Redragon,Redragon Athan GM-93 Wireless Lavalier ANC Lightweight Microphone,microphone,3500.0,https://techarc.pk/redragon-athan-gm93-wireless-lavalier-anc-microphone/
techarc,Redragon,Redragon GM-303 Pulsar Streaming Microphone,microphone,7040.0,https://techarc.pk/redragon-gm303-pulsar-streaming-microphone/
techarc,Redragon,Redragon GM212 Adne RGB Streaming Microphone with Pop Filter,microphone,9800.0,https://techarc.pk/redragon-gm212-adne-rgb-streaming-microphone/
techarc,Redragon,Redragon Seyfert GM-100 Gaming Stream Microphone,microphone,9500.0,https://techarc.pk/redragon-seyfert-gm100-gaming-stream-microphone/
techarc,ROCCAT,"ROCCAT Torch USB Microphone, Studio-Grade Audio, PC Computer Gaming Wired Mic, RGB AIMO Lighting with Indicator, For Streaming, Recording, Podcasting, Quick Mute, Boom Arm Compatible, Black",microphone,20000.0,https://techarc.pk/roccat-torch-usb-microphone/
