retailer,manufacturer,product_name,category,price,url
techarc,ASUS,ASUS PRIME A520M-K/CSM AMD AM4 (3rd Gen Ryzen) Micro-ATX Motherboard,motherboards,22800.0,https://techarc.pk/asus-prime-a520m-k-csm-amd-am4-micro-atx-motherboard/
techarc,ASUS,ASUS Prime A620M-E DDR5 AMD AM5 micro ATX Gaming Motherboard,motherboards,30800.0,https://techarc.pk/asus-prime-a620m-e-ddr5-am5-gaming-motherboard/
techarc,ASUS,ASUS Prime B550M-A D4 (Ryzen AM4) with Dual M.2 Micro-ATX Motherboard,motherboards,38200.0,https://techarc.pk/asus-prime-b550m-a-with-dual-m-2-micro-atx-motherboard/
techarc,ASUS,ASUS PRIME B550M-A WIFI II AM4 mATX Motherboard,motherboards,43800.0,https://techarc.pk/asus-prime-b550m-a-wifi-ii-am4-matx-motherboard/
techarc,ASUS,ASUS PRIME B760M-A Intel B760 (LGA1700) mATX DDR5 Motherboard,motherboards,37200.0,https://techarc.pk/asus-prime-b760m-a-intel-b760-lga1700-matx-motherboard-ddr5/
techarc,ASUS,ASUS PRIME B760M-A WiFi Intel B760 (LGA1700) mATX DDR5 Motherboard,motherboards,49200.0,https://techarc.pk/asus-prime-b760m-a-wifi-intel-b760-lga1700-matx-motherboard-ddr5/
techarc,ASUS,"ASUS PRIME B760M-K D4 Intel B760 (LGA 1700) (13th and 12th Gen) mATX Motherboard, PCIe 4.0, two PCIe 4.0 M.2 Slots, DDR4, Realtek 2.5Gb Ethernet, HDMI, SATA 6 Gbps, Front USB 3.2 Gen 1, Aura Sync",motherboards,29800.0,https://techarc.pk/asus-prime-b760m-k-d4-intel-lga1700-matx-motherboard/
techarc,ASUS,ASUS Prime B760M-K Intel B760 LGA 1700 mATX DDR5 Motherboard,motherboards,30800.0,https://techarc.pk/asus-prime-b760m-k-intel-b760-lga-1700-matx-motherboard-ddr5/
techarc,ASUS,ASUS PRIME B840M-A WIFI-CSM DDR5 AM5 micro-ATX Motherboard Supports AMD Ryzen 7000/8000/9000 Series Processors,motherboards,54800.0,https://techarc.pk/asus-prime-b840m-a-wifi-csm-ddr5-am5-motherboard/
techarc,ASUS,ASUS PRIME B860M-A WIFI-CSM DDR5 LGA1851 microATX Motherboard Supports Intel Core Ultra Processors,motherboards,57800.0,https://techarc.pk/asus-prime-b860m-a-wifi-csm-ddr5-lga1851-motherboard/
techarc,ASUS,ASUS PRIME H510M-F DDR4 LGA1200 microATX Motherboard Supports Intel Core 10th/11th Gen Processors,motherboards,22800.0,https://techarc.pk/asus-prime-h510m-f-ddr4-lga1200-microatx-motherboard/
techarc,ASUS,"ASUS PRIME H610M-K ARGB DDR5 Intel H610 (LGA 1700) micro-ATX Motherboard, Supports 13th and 12th Gen Intel Processors",motherboards,26800.0,https://techarc.pk/asus-prime-h610m-k-argb-ddr5-intel-h610-lga-1700-micro-atx-motherboard/
techarc,ASUS,ASUS Prime H610M-K D4 Intel LGA 1700 Micro ATX DDR4 Motherboard,motherboards,24800.0,https://techarc.pk/asus-prime-h610m-k-motherboard/
techarc,ASUS,"ASUS PRIME Z790-P/CSM DDR5 Motherboard, Supports 13th Gen Intel Core Processors",motherboards,64800.0,https://techarc.pk/asus-prime-z790-p-csm-ddr5-motherboard/
techarc,ASUS,"ASUS PRIME Z790-P/CSM WiFi DDR5 Motherboard, Supports 13th Gen Intel Core Processors",motherboards,69200.0,https://techarc.pk/asus-prime-z790-p-csm-wi-fi-lga-1700-atx-motherboard/
techarc,ASUS,ASUS PRIME Z890-P-CSM DDR5 LGA1851 ATX Motherboard Supports Intel Core Ultra Processors,motherboards,87500.0,https://techarc.pk/asus-prime-z890-p-csm-ddr5-lga1851-atx-motherboard/
techarc,ASUS,"ASUS ProArt X870E-CREATOR WiFi AM5 ATX Motherboard, PCIe 5.0 x16 Slots, 16+2+2 Power Stages, DDR5, Dual USB4, 10 Gb & 2.5 Gb LAN, WiFi 7, Four M.2 Slots",motherboards,189800.0,https://techarc.pk/asus-proart-x870e-creator-wifi-am5-atx-motherboard/
techarc,ASUS,ASUS ROG Maximus Z890 EXTREME WIFI DDR5 LGA1851 ATX Motherboard Supports Intel Core Ultra Processors,motherboards,297500.0,https://techarc.pk/asus-rog-maximus-z890-extreme-wifi-ddr5-atx-motherboard/
techarc,ASUS,ASUS ROG STRIX B860-A GAMING WIFI DDR5 LGA1851 ATX Motherboard Supports Intel Core Ultra Processors,motherboards,78200.0,https://techarc.pk/asus-rog-strix-b860-a-gaming-wifi-ddr5-motherboard/
techarc,ASUS,ASUS ROG STRIX B860-F GAMING WIFI DDR5 LGA1851 ATX Motherboard Supports Intel Core Ultra Processors,motherboards,78200.0,https://techarc.pk/asus-rog-strix-b860-f-gaming-wifi-ddr5-motherboard/
techarc,ASUS,"ASUS ROG Strix X870-A Gaming WiFi AM5 ATX Motherboard, 16+2+2 Power Stages, Dynamic OC Switcher, Core Flex, DDR5 AEMP, WiFi 7, 4X M.2, PCIe 5.0, Q-Release Slim, USB4, AI OCing & Networking",motherboards,147800.0,https://techarc.pk/asus-rog-strix-x870-a-gaming-wifi-am5-atx-motherboard/
techarc,ASUS,"ASUS ROG Strix X870-F Gaming WiFi AM5 ATX Motherboard, 16+2+2 power stages, DDR5, 4x M.2 slots, PCIe 5.0, WiFi 7, USB 10G w/PD 3.0 up to 30W",motherboards,167500.0,https://techarc.pk/asus-rog-strix-x870-f-gaming-wifi-am5-atx-motherboard/
