retailer,manufacturer,product_name,category,price,url
techarc,ADATA,ADATA LEGEND 710 256GB PCIe Gen3 x4 M.2 2280 NVMe Solid State Drive,ssd,13700.0,https://techarc.pk/adata-legend-710-256gb-nvme-solid-state-drive/
techarc,ADATA,ADATA LEGEND 710 2TB PCIe Gen3 x4 M.2 2280 NVMe Solid State Drive,ssd,63800.0,https://techarc.pk/adata-legend-710-2tb-nvme-solid-state-drive/
techarc,ADATA,ADATA LEGEND 710 512GB PCIe Gen3 x4 M.2 2280 NVMe Solid State Drive,ssd,21800.0,https://techarc.pk/adata-legend-710-512gb-pcie-gen3-x4-m-2-2280-nvme-solid-state-drive/
techarc,ADATA,ADATA LEGEND 860 1TB PCIe Gen4 x4 M.2 2280 Solid State Drive,ssd,39800.0,https://techarc.pk/adata-legend-860-1tb-pcie-gen4-solid-state-drive/
techarc,ADATA,ADATA LEGEND 860 2TB PCIe Gen4 x4 M.2 2280 Solid State Drive,ssd,73200.0,https://techarc.pk/adata-legend-860-2tb-pcie-gen4-solid-state-drive/
techarc,ADATA,ADATA LEGEND 860 500GB PCIe Gen4 x4 M.2 2280 Solid State Drive,ssd,26200.0,https://techarc.pk/adata-legend-860-500gb-pcie-gen4-solid-state-drive/
techarc,ADATA,ADATA SU650 3D-NAND 2.5in SATA III SSD – 1TB,ssd,32900.0,https://techarc.pk/adata-su650-3d-nand-2-5%e2%80%b3-sata-iii-ssd-1tb/
techarc,ADATA,ADATA SU650 3D-NAND 2.5in SATA III SSD – 256GB,ssd,12900.0,https://techarc.pk/adata-su650-3d-nand-2-5in-sata-iii-ssd-256gb/
techarc,ADATA,ADATA SU650 3D-NAND 2.5in SATA III SSD – 512GB,ssd,19900.0,https://techarc.pk/adata-su650-3d-nand-2-5%e2%80%b3-sata-iii-ssd-480gb/
techarc,Hiksemi,Hiksemi FUTURE Consumer PCIE 4.0 NVMe M.2 SSD 3D TLC up to 7450MB/s –  1TB,ssd,45000.0,https://techarc.pk/hiksemi-future-consumer-pcie-4-0-nvme-m-2-ssd-1tb/
