retailer,manufacturer,product_name,category,price,url
techmatched,Buy,Buy Asus ProArt X870E-Creator Wifi Motherboard in Pakistan | TechMatched,motherboards,190000.0,https://techmatched.pk/product/asus-proart-x870e-creator-wifi-motherbd-tm/
techmatched,Buy,Buy MSI MPG X870E CARBON WIFI Motherboard in Pakistan | TechMatched,motherboards,180000.0,https://techmatched.pk/product/msi-mpg-x870e-carbon-wifi-motherboard/
techmatched,Buy,Buy ASUS TUF GAMING X870-PLUS WIFI Motherboard in Pakistan | TechMatched,motherboards,113000.0,https://techmatched.pk/product/asus-tuf-gaming-x870-plus-wifi-motherboard/
techmatched,Buy,Buy MSI Z890 GAMING PLUS WIFI Motherboard in Pakistan | TechMatched,motherboards,99000.0,https://techmatched.pk/product/buy-msi-z890-gaming-plus-wifi-motherboard/
techmatched,Buy,Buy MSI PRO Z890-P WIFI Motherboard in Pakistan | TechMatched,motherboards,89000.0,https://techmatched.pk/product/buy-msi-pro-z890-p-wifi-motherboard-in-pak/
techmatched,Buy,Buy MSI PRO Z790-A MAX WIFI Motherboard in Pakistan | TechMatched,motherboards,86000.0,https://techmatched.pk/product/buy-msi-pro-z790-a-max-wifi-motherboard-pak/
techmatched,Buy,Buy MSI PRO B650-A WIFI Motherboard in Pakistan | TechMatched,motherboards,82500.0,https://techmatched.pk/product/buy-msi-pro-b650-a-wifi-motherboard-in-pak/
techmatched,Buy,Buy Gigabyte X870 Eagle Wifi7 AMD AM5 Motherboard in Pakistan | TechMatched,motherboards,75500.0,https://techmatched.pk/product/buy-gigabyte-x870-eagle-wifi7-amd-am5-in-pk/
techmatched,Buy,Buy MSI B860 GAMING PLUS WIFI Motherboard in Pakistan | TechMatched,motherboards,69500.0,https://techmatched.pk/product/msi-b860-gaming-plus-wifi-motherboard-tm/
techmatched,Buy,Buy MSI B850 GAMING PLUS WIFI6E Motherboard in Pakistan | TechMatched,motherboards,69000.0,https://techmatched.pk/product/msi-b850-gaming-plus-wifi6e-motherboard-tm/
techmatched,Buy,Buy Asus Tuf Gaming B860-Plus Wifi Motherboard in Pakistan | TechMatched,motherboards,68500.0,https://techmatched.pk/product/asus-tuf-gaming-b860-plus-wifi-motherboard/
techmatched,Buy,Buy MSI PRO Z790-P WIFI DDR5 Motherboard in Pakistan | TechMatched,motherboards,68499.0,https://techmatched.pk/product/buy-msi-pro-z790-p-wifi-ddr5-motherboard-tm/
techmatched,Buy,Buy MSI PRO B860-P WIFI Motherboard in Pakistan | TechMatched,motherboards,65000.0,https://techmatched.pk/product/buy-msi-pro-b860-p-wifi-motherboard-techmat/
techmatched,Buy,Buy MSI B760M PROJECT ZERO Gaming Motherboard in Pakistan | TechMatched,motherboards,65000.0,https://techmatched.pk/product/msi-b760m-project-zero-gaming-motherboard/
techmatched,Buy,Buy MSI B650M PROJECT ZERO Motherboard in Pakistan | TechMatched,motherboards,65000.0,https://techmatched.pk/product/buy-msi-b650m-project-zero-motherboard/
techmatched,Buy,Buy ASUS TUF GAMING B650 PLUS WIFI Motherboard in Pakistan | TechMatched,motherboards,65000.0,https://techmatched.pk/product/asus-tuf-gaming-b650-plus-wifi-motherboard/
