retailer,manufacturer,product_name,category,price,url
walistech,Boost,Boost Puma ATX Case,case,5999.0,https://www.walistech.pk/casings/boost-puma-atx-case
walistech,Boost,Boost Wolf Pro Gaming Case,case,8499.0,https://www.walistech.pk/casings/boost-wolf-pro-pc-case-
walistech,Darkflash,Darkflash DK353 Mini M-ATX PC Case Black,case,8499.0,https://www.walistech.pk/casings/darkflash-dk353-mini-m-atx-pc-case-black
walistech,Boost,Boost Wolf Gaming Case,case,8750.0,https://www.walistech.pk/casings/boost-wolf-gaming-case-
walistech,Darkflash,Darkflash DK100 M-ATX PC Case Black,case,8999.0,https://www.walistech.pk/casings/darkflash-dk100-m-atx-pc-case-black
walistech,1STPLAYER,1STPLAYER X4-M Gaming Case Black,case,10999.0,https://www.walistech.pk/casings/1stplayer-x4m-gaming-case
walistech,1ST,1ST PLAYER X4-M Gaming Case White,case,10999.0,https://www.walistech.pk/casings/1st-player-x4m-gaming-case-white
walistech,Boost,Boost Peacock With Stylish Pen Gaming Case Black,case,10999.0,https://www.walistech.pk/casings/boost-peacock-with-stylish-pen-gaming-case-black
walistech,Boost,Boost Jaguar RGB Mid-Tower ATX Case Black,case,10999.0,https://www.walistech.pk/casings/boost-jaguar-rgb-mid-tower-atx-case-black
walistech,Boost,Boost Cheetah Gaming Case,case,10999.0,https://www.walistech.pk/casings/boost-cheetah-gaming-case
walistech,Boost,Boost Cheetah Pro Gaming Case Black,case,10999.0,https://www.walistech.pk/casings/boost-cheetah-pro-gaming-case-black
walistech,Boost,Boost Cheetah Pro Gaming Case White,case,11000.0,https://www.walistech.pk/casings/boost-cheetah-pro-gaming-case-white
walistech,Boost,Boost Tiger RGB Mid-Tower ATX Black,case,11000.0,https://www.walistech.pk/casings/boost-tiger-rgb-mid-tower-atx-black
walistech,Boost,Boost Tiger Pro Gaming Case,case,11499.0,https://www.walistech.pk/casings/boost-tiger-pro-gaming-case
walistech,Aerocool,"Aerocool Trinity Mini, Mini ATX Tower Case, Tempered Glass Side Panel Black",case,11500.0,https://www.walistech.pk/casings/aerocool-trinity-mini-mini-atx-tower-case-tempered-glass-side-panel-black
walistech,Boost,Boost Jaguar RGB Mid-Tower ATX Case White,case,11999.0,https://www.walistech.pk/casings/boost-jaguar-rgb-mid-tower-atx-case-white
walistech,Boost,Boost Fox ATX Gaming Case,case,11999.0,https://www.walistech.pk/casings/boost-fox-atx-gaming-case
walistech,Boost,Boost Peacock With Stylish Pen Gaming Case White,case,11999.0,https://www.walistech.pk/casings/boost-peacock-with-stylish-pen-gaming-case-white
walistech,Aerocool,"Aerocool Delta, ATX PC Case, RGB Front, Full Side Window Black",case,11999.0,https://www.walistech.pk/casings/aerocool-delta-atx-pc-case-rgb-front-full-side-window-black
walistech,EASE,EASE EC141B Tempered Glass ATX Gaming Case Black,case,12399.0,https://www.walistech.pk/casings/ease-ec141b-tempered-glass-atx-gaming-case-black
