retailer,manufacturer,product_name,category,price,url
walistech,AMD,"AMD RYZEN 5 3600X 6-CORE, 12-THREAD UNLOCKED DESKTOP PROCESSOR",cpu,0.0,https://www.walistech.pk/processors/amd-ryzen-5-3600x-6-core-12-thread-unlocked-desktop-processor
walistech,AMD,"AMD RYZEN 5 2600 6-CORE, 12-THREAD UNLOCKED DESKTOP PROCESSOR (TRAY)",cpu,14499.0,https://www.walistech.pk/processors/amd-ryzen-5-2600-6-core-12-thread-unlocked-desktop-processor-tray
walistech,AMD,"AMD Ryzen 5 3600 6-Core, 12-Thread Unlocked Desktop Processor (Tray)",cpu,18999.0,https://www.walistech.pk/processors/amd-ryzen-5-3600-6-core-12-thread-unlocked-desktop-processor-tray
walistech,INTEL,INTEL CORE I3 (12TH GEN) I3-12100 QUAD-CORE (4 CORE) 3.30 GHZ PROCESSOR (TRAY),cpu,20999.0,https://www.walistech.pk/processors/intel-core-i3-12th-gen-i3-12100-quad-core-4-core-3-30-ghz-processor-tray
walistech,Intel,"Intel Core i5 Core 12400F Desktop Processor 18M Cache, up to 4.40 GHz",cpu,28999.0,https://www.walistech.pk/processors/intel-core-i5-core-12400f-desktop-processor-18m-cache-up-to-4-40-ghz
walistech,AMD,"AMD Ryzen 5 5600 6-Core, 12-Thread Unlocked Desktop Processor (Tray)",cpu,32500.0,https://www.walistech.pk/processors/amd-ryzen-5-5600-6-core-12-thread-unlocked-desktop-processor-tray
walistech,AMD,"AMD Ryzen 5 5600X 6-core, 12-Thread Unlocked Desktop Processor (Tray)",cpu,38500.0,https://www.walistech.pk/processors/amd-ryzen-5-5600x-6-core-12-thread-unlocked-desktop-processor-tray
walistech,AMD,AMD RYZEN 5 7500F 6-CORE 12-THREAD CPU PROCESSOR,cpu,44999.0,https://www.walistech.pk/processors/amd-ryzen-5-7500f-6-core-12-thread-cpu-processor
walistech,AMD,"AMD Ryzen 5 7600 6-Core, 12-Thread Unlocked Desktop Processor",cpu,54499.0,https://www.walistech.pk/processors/amd-ryzen-5-7600-6-core-12-thread-unlocked-desktop-processor
walistech,AMD,"AMD Ryzen 7 5700X 8-Core, 16-Thread Unlocked Desktop Processor",cpu,58499.0,https://www.walistech.pk/processors/amd-ryzen-7-5700x-8-core-16-thread-unlocked-desktop-processor
walistech,AMD,"AMD RYZEN 7 7700 8-CORE, 16-THREAD UNLOCKED DESKTOP PROCESSOR (TRAY)",cpu,61999.0,https://www.walistech.pk/processors/amd-ryzen-7-7700-8-core-16-thread-unlocked-desktop-processor
walistech,AMD,"AMD RYZEN 7 5800X 8-CORE, 16-THREAD UNLOCKED DESKTOP PROCESSOR (TRAY)",cpu,62999.0,https://www.walistech.pk/processors/amd-ryzen-7-5800x-8-core-16-thread-unlocked-desktop-processor-tray
walistech,INTEL,INTEL CORE I5-12600KF DESKTOP PROCESSOR 10-CORES (6P+4E) CORES UP TO 4.9 GHZ,cpu,65999.0,https://www.walistech.pk/processors/intel-core-i5-12600kf-desktop-processor-10-cores-6p-4e-cores-up-to-4-9-ghz
walistech,AMD,"AMD RYZEN 5 7600X 6-CORE, 12-THREAD UNLOCKED DESKTOP PROCESSOR",cpu,73499.0,https://www.walistech.pk/processors/amd-ryzen-5-7600x-6-core-12-thread-unlocked-desktop-processor
walistech,INTEL,INTEL CORE I5-12600K 10-CORES (6P+4E) CORES UP TO 4.9 GHZ,cpu,74999.0,https://www.walistech.pk/processors/intel-core-i5-12600k-10-cores-6p-4e-cores-up-to-4-9-ghz
walistech,AMD,"AMD Ryzen 7 7700X 8-Core, 16-Thread Unlocked Desktop Processor",cpu,98000.0,https://www.walistech.pk/processors/amd-ryzen™-7-7700x-8-core-16-thread-unlocked-desktop-processor
walistech,INTEL,INTEL CORE I5-13600K DESKTOP PROCESSOR 14 (6 P-CORES + 8 E-CORES),cpu,107000.0,https://www.walistech.pk/processors/intel-core-i5-13600k-desktop-processor-14-6-p-cores-8-e-cores
walistech,INTEL,INTEL CORE I7-14700F DESKTOP PROCESSOR 20 CORES (8 P-CORES + 12 E-CORES) UP TO 5.4 GHZ,cpu,112999.0,https://www.walistech.pk/processors/intel®-core™-i7-14700f-20-core-8-p-cores-12-e-cores-desktop-processor-up-to-5-4-ghz
walistech,Intel,Intel Core i7-13700KF Gaming Desktop Processor 16 cores (8 P-cores + 8 E-cores) - Unlocked,cpu,115000.0,https://www.walistech.pk/processors/intel-core-i7-13700kf-gaming-desktop-processor-16-cores-8-p-cores-8-e-cores-unlocked
walistech,INTEL,INTEL CORE I7-14700 DESKTOP PROCESSOR 20 CORES (8 P-CORES + 12 E-CORES) UP TO 5.4 GHZ,cpu,117999.0,https://www.walistech.pk/processors/intel-core-i7-14700-desktop-processor-20-cores-8-p-cores-12-e-cores-up-to-5-4-ghz
