retailer,manufacturer,product_name,category,price,url
walistech,ID-COOLING,ID-COOLING SE-802-SD V3,cpu_cooler,2499.0,https://www.walistech.pk/cooling-solutions/id-cooling-se-802-sd-v3
walistech,Aigo,Aigo ICE 200 Pro Cooler White,cpu_cooler,3499.0,https://www.walistech.pk/cooling-solutions/aigo-ice-200-pro-cooler-white
walistech,IDCooling,IDCooling DK-07A,cpu_cooler,3499.0,https://www.walistech.pk/cooling-solutions/idcooling-dk-07a
walistech,ID-COOLING,ID-COOLING SE-903-XT CPU Cooler 3 Heatpipes Black,cpu_cooler,4999.0,https://www.walistech.pk/cooling-solutions/id-cooling-se-903-xt-cpu-cooler-3-heatpipes-black
walistech,DarkFlash,DarkFlash Storm Z4 ARGB Tower CPU Cooler,cpu_cooler,5499.0,https://www.walistech.pk/cooling-solutions/darkflash-storm-z4-argb-tower-cpu-cooler
walistech,ID-COOLING,ID-COOLING SE-214-XT ARGB CPU Air Cooler 4 Heatpipes White,cpu_cooler,6299.0,https://www.walistech.pk/cooling-solutions/id-cooling-se-214-xt-argb-cpu-air-cooler-4-heatpipes-white
walistech,ID-Cooling,ID-Cooling SE-214-XT Plus CPU Cooler,cpu_cooler,6499.0,https://www.walistech.pk/cooling-solutions/id-cooling-se-214-xt-plus-cpu-cooler
walistech,ID-COOLING,ID-COOLING SE-214-XT ARGB CPU Air Cooler 4 Heatpipes Black,cpu_cooler,6499.0,https://www.walistech.pk/cooling-solutions/id-cooling-se-214-xt-argb-cpu-air-cooler-4-heatpipes-black
walistech,ID-COOLING,ID-COOLING FrostFlow X 120 Lite 120mm Liquid CPU Cooler Black,cpu_cooler,9999.0,https://www.walistech.pk/processors/id-cooling-frostflow-x-120-lite-120mm-liquid-cpu-cooler-black
walistech,ID-Cooling,ID-Cooling FROZN A410 ARGB CPU Cooler Black,cpu_cooler,10499.0,https://www.walistech.pk/cooling-solutions/id-cooling-frozn-a410-argb-cpu-cooler-black
walistech,ID-Cooling,ID-Cooling FROZN A620 CPU Cooler Black,cpu_cooler,14999.0,https://www.walistech.pk/cooling-solutions/id-cooling-frozn-a620-cpu-cooler-black
walistech,ID-COOLING,ID-COOLING FX240 ARGB 240mm AIO CPU Cooler Black,cpu_cooler,15499.0,https://www.walistech.pk/cooling-solutions/id-cooling-fx240-argb-240mm-aio-cpu-cooler-black
walistech,ID-Cooling,ID-Cooling FX-240 INF Black,cpu_cooler,16499.0,https://www.walistech.pk/cooling-solutions/id-cooling-fx-240-inf-black
walistech,ID-Cooling,ID-Cooling FROZN A620 ARGB CPU Air Cooler Black,cpu_cooler,17499.0,https://www.walistech.pk/cooling-solutions/id-cooling-frozn-a620-argb-cpu-air-cooler-black
walistech,ID-Cooling,ID-Cooling FROZN A620 ARGB CPU Air Cooler White,cpu_cooler,17999.0,https://www.walistech.pk/cooling-solutions/id-cooling-frozn-a620-argb-cpu-air-cooler-white
walistech,ID-COOLING,ID-COOLING FX240 INF ARGB 240mm AIO Liquid CPU Cooler w/ Infinity Mirror Display – Black ID-COOLING FX240 INF ARGB 240mm AIO Liquid CPU Cooler w/ Infinity Mirror Display – Black 2 ID-COOLING FX240 INF ARGB 240mm AIO Liquid CPU Cooler w/ Infinity Mirr,cpu_cooler,18499.0,https://www.walistech.pk/cooling-solutions/id-cooling-fx240-inf-argb-240mm-aio-liquid-cpu-cooler-w-infinity-mirror-display-–-black-id-cooling-f
walistech,ID-Cooling,ID-Cooling FX-240 INF White,cpu_cooler,18999.0,https://www.walistech.pk/cooling-solutions/id-cooling-fx-240-inf-white
walistech,ID-COOLING,ID-COOLING FX240 INF ARGB 240mm AIO Liquid CPU Cooler w/ Infinity Mirror Display – White,cpu_cooler,19499.0,https://www.walistech.pk/cooling-solutions/id-cooling-fx240-inf-argb-240mm-aio-liquid-cpu-cooler-w-infinity-mirror-display-–-white
walistech,ID-COOLING,ID-COOLING ZOOMFLOW 240XT V2 ARGB AIO LIQUID CPU COOLER BLACK,cpu_cooler,19899.0,https://www.walistech.pk/cooling-solutions/id-cooling-zoomflow-240xt-v2-argb-aio-liquid-cpu-cooler-black
walistech,ID-Cooling,ID-Cooling FROZN A410 ARGB CPU Cooler White,cpu_cooler,19999.0,https://www.walistech.pk/cooling-solutions/id-cooling-frozn-a410-argb-cpu-cooler-white
