retailer,manufacturer,product_name,category,price,url
walistech,ASUS,ASUS Dual GeForce RTX 5060 8GB GDDR7 OC Edition,gpu,120000.0,https://www.walistech.pk/graphics-cards/asus-dual-geforce-rtx-5060-8gb-gddr7-oc-edition
walistech,PULSE,PULSE AMD Radeon RX 9060 XT OC 16GB GPU,gpu,135000.0,https://www.walistech.pk/graphics-cards/pulse-amd-radeon-rx-9060-xt-oc-16gb-gpu
walistech,ASUS,ASUS Dual GeForce RTX 4060 Ti OC Edition 8GB GDDR6,gpu,144999.99,https://www.walistech.pk/graphics-cards/asus-dual-geforce-rtx-4060-ti-oc-edition-8gb-gddr6-2
walistech,ASUS,ASUS Dual GeForce RTX 5060 Ti 16GB GDDR7 OC Edition,gpu,162000.0,https://www.walistech.pk/graphics-cards/asus-dual-geforce-rtx-5060-ti-16gb-gddr7-oc-edition
walistech,Nvidia,Nvidia GeForce RTX 4070 SUPER 12G VENTUS 2X OC,gpu,190000.0,https://www.walistech.pk/graphics-cards/nvidia-geforce-rtx-4070-super-12g-ventus-2x-oc
walistech,XFX,"XFX Quicksilver AMD Radeon RX 9070 OC Gaming Edition Graphics Card with 16GB GDDR6 HDMI 3xDP, AMD RDNA 4",gpu,228999.0,https://www.walistech.pk/graphics-cards/xfx-quicksilver-amd-radeon-rx-9070-oc-gaming-edition-graphics-card-with-16gb-gddr6-hdmi-3xdp-amd-rdn
walistech,Sapphire,Sapphire PULSE AMD Radeon RX 9070XT 16GB GDDR6 Graphic Card,gpu,254999.0,https://www.walistech.pk/graphics-cards/sapphire-pulse-amd-radeon-rx-9070xt-16gb-gddr6-graphic-card
walistech,MSI,MSI GeForce RTX 4070 Super 12G Gaming X Slim White,gpu,260000.0,https://www.walistech.pk/graphics-cards/msi-geforce-rtx-4070-gaming-x-slim-white-12g-graphics-card
walistech,Sapphire,Sapphire PURE RX 9070 XT 16GB GDDR6 White Graphic Card,gpu,264999.0,https://www.walistech.pk/graphics-cards/sapphire-pure-rx-9070-xt-16gb-gddr6-white-graphic-card
walistech,XFX,"XFX Swift AMD Radeon RX 9070XT Triple Fan White Gaming Edition Graphics Card with 16GB GDDR6 HDMI 3xDP, AMD RDNA 4",gpu,277999.0,https://www.walistech.pk/graphics-cards/xfx-swift-amd-radeon-rx-9070xt-triple-fan-white-gaming-edition-graphics-card-with-16gb-gddr6-hdmi-3x
walistech,XFX,"XFX Quicksilver AMD Radeon RX 9070XT Gaming Edition Graphics Card with 16GB GDDR6 HDMI 3xDP, AMD RDNA 4",gpu,277999.0,https://www.walistech.pk/graphics-cards/xfx-quicksilver-amd-radeon-rx-9070xt-gaming-edition-graphics-card-with-16gb-gddr6-hdmi-3xdp-amd-rdna
walistech,Nvidia,Nvidia GeForce RTX 4070 Ti SUPER 16G VENTUS 2X OC,gpu,279999.0,https://www.walistech.pk/graphics-cards/nvidia-geforce-rtx-4070-ti-super-16g-ventus-2x-oc
walistech,XFX,"XFX Quicksilver AMD Radeon RX 9070XT White Gaming Edition Graphics Card with 16GB GDDR6 HDMI 3xDP, AMD RDNA 4",gpu,282999.0,https://www.walistech.pk/graphics-cards/xfx-quicksilver-amd-radeon-rx-9070xt-white-gaming-edition-graphics-card-with-16gb-gddr6-hdmi-3xdp-am
walistech,ZOTAC,ZOTAC GAMING GeForce RTX 5070 Ti SOLID,gpu,285000.0,https://www.walistech.pk/graphics-cards/zotac-gaming-geforce-rtx-5070-ti-solid
walistech,Nvidia,Nvidia GeForce RTX 4070 Ti SUPER JetStream OC 16GB,gpu,289999.0,https://www.walistech.pk/graphics-cards/nvidia-geforce-rtx-4070-ti-super-jetstream-oc-16gb
walistech,MSI,MSI Gaming GeForce RTX 4070 Ti 12GB GDRR6X 192-Bit HDMI/DP Nvlink Tri-Frozr 3 Ada Lovelace Architecture Graphics Card (NEW),gpu,290000.0,https://www.walistech.pk/graphics-cards/msi-gaming-geforce-rtx-4070-ti-12gb-gdrr6x-192-bit-hdmi-dp-nvlink-tri-frozr-3-ada-lovelace-architect
walistech,MSI,MSI Suprim X GeForce RTX 4070 Ti 12GB GDRR6X 192-Bit HDMI/DP Nvlink Tri-Frozr 3 Ada Lovelace Architecture Graphics Card (RTX 4070 Ti SUPRIM X 12G) (NEW),gpu,310000.0,https://www.walistech.pk/processors/msi-gaming-geforce-rtx-4070-ti-12gb-gdrr6x-192-bit-hdmi-dp-nvlink-tri-frozr-3-ada-lovelace-architect
walistech,ASUS,ASUS ROG Strix GeForce RTX™ 4070 Ti 12GB GDDR6X OC Edition,gpu,349999.0,https://www.walistech.pk/graphics-cards/asus-rog-strix-geforce-rtx™-4070-ti-12gb-gddr6x-oc-edition
walistech,ASUS,ASUS PROART GEFORCE RTX 4080 SUPER OC EDITION 16GB GDDR6X GAMING GRAPHICS CARD,gpu,424999.0,https://www.walistech.pk/graphics-cards/asus-proart-geforce-rtx-4080-super-oc-edition-16gb-gddr6x-gaming-graphics-card
walistech,MSI,MSI GeForce RTX 4080 16GB SUPRIM X Gaming,gpu,425000.0,https://www.walistech.pk/processors/msi-geforce-rtx-4080-16gb-suprim-x-gaming-graphics-card
