retailer,manufacturer,product_name,category,price,url
walistech,HyperX,HyperX Alloy Origins 60 - Mechanical Gaming Keyboard,keyboard,10450.0,https://www.walistech.pk/keyboards/hyperx-alloy-origins-60-mechanical-gaming-keyboard
walistech,HyperX,HyperX Alloy Origins - Mechanical Gaming Keyboard,keyboard,10950.0,https://www.walistech.pk/keyboards/hyperx-alloy-origins-mechanical-gaming-keyboard
walistech,HyperX,HyperX Alloy Origins Core - Mechanical Gaming Keyboard,keyboard,11950.0,https://www.walistech.pk/keyboards/hyperx-alloy-origins-core-mechanical-gaming-keyboard
walistech,ATTACK,ATTACK SHARK X66 Wireless Mechanical Keyboard with Side Printed PBT Keycaps - White Cheese,keyboard,13399.0,https://www.walistech.pk/keyboards/attack-shark-x66-wireless-mechanical-keyboard-with-side-printed-pbt-keycaps-white-cheese
walistech,Alloy,Alloy Elite 2 - Multimedia Gaming Keyboard,keyboard,13450.0,https://www.walistech.pk/keyboards/alloy-elite-2-multimedia-gaming-keyboard
walistech,ATTACK,ATTACK SHARK X87 Tri-mode Gasket Mechanical Keyboard - Star Black,keyboard,14399.0,https://www.walistech.pk/keyboards/attack-shark-x87-tri-mode-gasket-mechanical-keyboard-star-black
walistech,ATTACK,ATTACK SHARK X87 Tri-mode Gasket Mechanical Keyboard -  Cheese White,keyboard,14399.0,https://www.walistech.pk/keyboards/attack-shark-x87-tri-mode-gasket-mechanical-keyboard-cheese-white
walistech,ATTACK,ATTACK SHARK K86 Wireless Mechanical Keyboard - Retro Grey,keyboard,15500.0,https://www.walistech.pk/keyboards/attack-shark-k86-wireless-mechanical-keyboard-retro-grey
walistech,ATTACK,ATTACK SHARK X68 HE Rapid Trigger Keyboard Magnetic Switch - Black Contours (Pattern Shine Through Keycaps),keyboard,16399.0,https://www.walistech.pk/keyboards/attack-shark-x68-he-rapid-trigger-keyboard-magnetic-switch-black-contours-pattern-shine-through-keyc
walistech,ATTACK,ATTACK SHARK X85PRO Tri-mode Gasket Mechanical Keyboard - Starry Black,keyboard,16450.0,https://www.walistech.pk/keyboards/attack-shark-x85pro-tri-mode-gasket-mechanical-keyboard-starry-black
walistech,ATTACK,ATTACK SHARK X68 HE Rapid Trigger Keyboard Magnetic Switch - White Contours (Pattern Shine Through Keycaps),keyboard,16450.0,https://www.walistech.pk/keyboards/attack-shark-x68-he-rapid-trigger-keyboard-magnetic-switch-white-contours-pattern-shine-through-keyc
walistech,ATTACK,ATTACK SHARK X85PRO Mechanical Keyboard - Cheese,keyboard,16490.0,https://www.walistech.pk/keyboards/attack-shark-x85pro-mechanical-keyboard
walistech,ATTACK,ATTACK SHARK K86 Wireless Mechanical Keyboard - Lavender Blue,keyboard,16899.0,https://www.walistech.pk/keyboards/attack-shark-k86-wireless-mechanical-keyboard-lavender-blue
