retailer,manufacturer,product_name,category,price,url
walistech,Asus,"Asus TUF Gaming Series 5 - VG249Q5R Gaming Monitor – 24 Inch, Full HD(1920x1080), 200Hz, Fast IPS",monitor,42999.0,https://www.walistech.pk/monitors/asus-tuf-gaming-series-5-vg249q5r-gaming-monitor-24-inch-full-hd1920x1080-200hz-fast-ips
walistech,Boost,Boost Adonis 165Hz 24″ 1920×1080 IPS,monitor,45000.0,https://www.walistech.pk/monitors/boost-adonis-24-1920×1080-ips
walistech,Ease,"Ease G24I18 180Hz 1080p FHD IPS 24"" Gaming Monitor",monitor,45999.0,https://www.walistech.pk/monitors/ease-g24i18-180hz-1080p-fhd-ips-24-gaming-monitor
walistech,Ease,"Ease G24V18 180Hz 1080p FHD VA 24"" Curved Gaming Monitor",monitor,48999.0,https://www.walistech.pk/monitors/ease-g24v18-180hz-1080p-fhd-va-24-curved-gaming-monitor
walistech,Gigabyte,Gigabyte G24F 2 180Hz (OC) 1080p FHD IPS 24″ Gaming Monitor,monitor,55999.0,https://www.walistech.pk/monitors/gigabyte-g24f-2-24-180hz-oc-ips-gaming-monitor
walistech,Boost,Boost Adonis Pro 165Hz 27″ 2560×1440 IPS,monitor,57500.0,https://www.walistech.pk/monitors/boost-adonis-pro-27-2560×1440-ips
walistech,Ease,"Ease G27V24 240Hz 1080p FHD VA 27"" Curved Gaming Monitor",monitor,59799.0,https://www.walistech.pk/monitors/ease-g27v24-240hz-1080p-fhd-va-27-curved-gaming-monitor
walistech,Msi,Msi MAG MAG 255XFV 250Hz Gaming Monitors,monitor,60999.0,https://www.walistech.pk/motherboards/msi-mag-mag-255xfv-250hz-gaming-monitors
walistech,Ease,"Ease G27I16 165Hz 1440p QHD IPS 27"" Gaming Monitor",monitor,65550.0,https://www.walistech.pk/monitors/ease-g27i16-165hz-1440p-qhd-ips-27-gaming-monitor
walistech,Msi,Msi G274QPF E2 27 Inch 180Hz Gaming Monitor,monitor,71999.0,https://www.walistech.pk/monitors/msi-g274qpf-e2-27-inch-180hz-gaming-monitor
walistech,Ease,"Ease G32I16 165Hz 1440p QHD IPS 32"" Gaming Monitor",monitor,91999.0,https://www.walistech.pk/monitors/ease-g32i16-165hz-1440p-qhd-ips-32-gaming-monitor
