retailer,manufacturer,product_name,category,price,url
walistech,ATTACK,ATTACK SHARK X5 Wireless Gaming Mouse - Black,mouse,5000.0,https://www.walistech.pk/mouse/attack-shark-x5-wireless-gaming-mouse-white
walistech,ATTACK,ATTACK SHARK R1 Wireless Gaming Mouse - White,mouse,6000.0,https://www.walistech.pk/processors/attack-shark-r1-wireless-gaming-mouse-white
walistech,ATTACK,ATTACK SHARK R1 Wireless Gaming Mouse - Black,mouse,6000.0,https://www.walistech.pk/mouse/attack-shark-r1-wireless-gaming-mouse-black
walistech,ATTACK,ATTACK SHARK X11 Wireless Gaming Mouse with Charging Dock - Black,mouse,8500.0,https://www.walistech.pk/mouse/attack-shark-x11-wireless-gaming-mouse-with-charging-dock-black
walistech,ATTACK,ATTACK SHARK X11 Wireless Gaming Mouse with Charging Dock,mouse,9500.0,https://www.walistech.pk/mouse/attack-shark-x11-wireless-gaming-mouse-with-charging-dock
walistech,ATTACK,ATTACK SHARK X6 Three Modes Gaming Mouse With Charging Doc - White,mouse,9900.0,https://www.walistech.pk/mouse/attack-shark-x6-three-modes-gaming-mouse-with-charging-doc-white
walistech,ATTACK,ATTACK SHARK X6 Three Modes Gaming Mouse With Charging Doc - Black,mouse,9900.0,https://www.walistech.pk/mouse/-attack-shark-x6-three-modes-gaming-mouse-with-charging-doc-black
walistech,ATTACK,ATTACK SHARK X3PRO Three Modes 8K Gaming Mouse - Black/White,mouse,12250.0,https://www.walistech.pk/mouse/attack-shark-x3pro-three-modes-8k-gaming-mouse-black-white
walistech,ATTACK,ATTACK SHARK X3MAX PAW3950 Wireless Gaming Mouse - White,mouse,13990.0,https://www.walistech.pk/mouse/attack-shark-x3max-paw3950-wireless-gaming-mouse-white
walistech,ATTACK,ATTACK SHARK R5 Ultra Carbon Fiber Wireless 8K PAW3950MAX Gaming Mouse with 8K Coiled Cable,mouse,18950.0,https://www.walistech.pk/mouse/attack-shark-r5-ultra-carbon-fiber-wireless-8k-paw3950max-gaming-mouse-with-8k-coiled-cable
