retailer,manufacturer,product_name,category,price,url
zahcomputers,ZOTAC,ZOTAC Twin Edge GAMING GeForce RTX 5050 8GB GDDR6 PCI Express 5.0 x8 Graphics Card,gpu,103000.0,https://zahcomputers.pk/product/zotac-twin-edge-gaming-geforce-rtx-5050-8gb-gddr6-pci-express-5-0-x8-graphics-card/
zahcomputers,Leadtek,Leadtek GeForce RTX 5060 Ti Hurricane 8GB Graphics Card,gpu,142000.0,https://zahcomputers.pk/product/leadtek-geforce-rtx-5060-ti-hurricane-8gb-graphics-card/
zahcomputers,MSI,MSI GeForce RTX 5050 SHADOW 2X OC 8GB GDDR6 Graphics Card,gpu,109999.0,https://zahcomputers.pk/product/msi-geforce-rtx-5050-shadow-2x-oc-8gb-gddr6-graphics-card/
zahcomputers,INNO3D,INNO3D GeForce RTX 4070 Ti Super X3 OC 16GB Nvidia Graphic Card,gpu,265000.0,https://zahcomputers.pk/product/inno3d-geforce-rtx-4070-ti-super-x3-oc-16gb-nvidia-graphic-card/
zahcomputers,ZOTAC,ZOTAC GAMING GeForce RTX 5070 AMP White Edition DLSS 4 12GB GDDR7 192-bit 28 Gbps PCIe 5.0 Gaming Graphics Card,gpu,249000.0,https://zahcomputers.pk/product/zotac-gaming-geforce-rtx-5070-amp-white-edition-dlss-4-12gb-gddr7-192-bit-28-gbps-pcie-5-0-gaming-graphics-card/
zahcomputers,ZOTAC,ZOTAC GAMING GeForce RTX 5060 Twin Edge OC 8GB White Edition Graphics Card,gpu,128000.0,https://zahcomputers.pk/product/zotac-gaming-geforce-rtx-5060-twin-edge-oc-8gb-white-edition-graphics-card/
zahcomputers,GIGABYTE,GIGABYTE GeForce RTX 5060 EAGLE MAX OC 8GB GDDR7 PCI-Express 5.0 Graphics Card,gpu,128000.0,https://zahcomputers.pk/product/gigabyte-geforce-rtx-5060-eagle-max-oc-8gb-gddr7-pci-express-5-0-graphics-card/
zahcomputers,GIGABYTE,GIGABYTE GeForce RTX 5060 Windforce Max OC 8G Graphics Card 8GB 128-bit GDDR7 PCIe 5.0 WINDFORCE Cooling System Video Card,gpu,122000.0,https://zahcomputers.pk/product/gigabyte-geforce-rtx-5060-windforce-max-oc-8g-graphics-card-8gb-128-bit-gddr7-pcie-5-0-windforce-cooling-system-video-card/
zahcomputers,PNY,PNY GeForce RTX 5070 ARGB EPIC-X RGB OC Triple Fan Graphics Card 12GB GDDR7 192-Bit Memory 2.16 GHz Base Clock 28 Gbps Memory Speed 6144 CUDA Cores PCI-Express 5.0,gpu,225000.0,https://zahcomputers.pk/product/pny-geforce-rtx-5070-argb-epic-x-rgb-oc-triple-fan-graphics-card-12gb-gddr7-192-bit-memory-2-16-ghz-base-clock-28-gbps-memory-speed-6144-cuda-cores-pci-express-5-0/
zahcomputers,Gigabyte,Gigabyte Aorus GeForce RTX 5080 Master Ice 16G Graphics Card  Windforce Cooling System 16GB 256-bit GDDR7 Video Card,gpu,560000.0,https://zahcomputers.pk/product/gigabyte-aorus-geforce-rtx-5080-master-ice-16g-graphics-card-windforce-cooling-system-16gb-256-bit-gddr7-video-card/
zahcomputers,Sapphire,Sapphire Pulse AMD Radeon RX 7700 XT 12GB Graphics Card,gpu,152500.0,https://zahcomputers.pk/product/sapphire-pulse-amd-radeon-rx-7700-xt-12gb-graphics-card/
zahcomputers,INNO3D,INNO3D GeForce RTX 5060 Twin X2 8GB GDDR7 Gaming Graphics Card,gpu,120000.0,https://zahcomputers.pk/product/inno3d-geforce-rtx-5060-twin-x2-8gb-gddr7-gaming-graphics-card/
zahcomputers,GIGABYTE,GIGABYTE Radeon RX 9060 XT GAMING OC 16G PCIe 5.0 GDDR6 Graphics Card,gpu,148000.0,https://zahcomputers.pk/product/gigabyte-radeon-rx-9060-xt-gaming-oc-16g-pcie-5-0-gddr6-graphics-card/
zahcomputers,XFX,"XFX Quicksilver AMD Radeon RX 9070 OC Gaming Edition Graphics Card with 16GB GDDR6 HDMI 3xDP, AMD RDNA 4",gpu,240000.0,https://zahcomputers.pk/product/xfx-quicksilver-amd-radeon-rx-9070-oc-gaming-edition-graphics-card-with-16gb-gddr6-hdmi-3xdp-amd-rdna-4/
zahcomputers,ASUS,ASUS ROG Strix GeForce RTX 5070 Ti OC Edition 16GB 256-Bit GDDR7 PCI Express 5.0 DLSS 4.0 Graphics Card,gpu,410000.0,https://zahcomputers.pk/product/asus-rog-strix-geforce-rtx-5070-ti-oc-edition-16gb-256-bit-gddr7-pci-express-5-0-dlss-4-0-graphics-card/
