retailer,manufacturer,product_name,category,price,url
zahcomputers,Apacer,Apacer DDR4 CL22 Notebook Memory Module 8GB 3200Mhz Laptop Ram,ram,15000.0,https://zahcomputers.pk/product/apacer-ddr4-cl22-notebook-memory-module-8gb-3200mhz-laptop-ram/
zahcomputers,Patriot,Patriot 32GB Signature Line DDR5 5600 MHz SO-DIMM Memory,ram,95000.0,https://zahcomputers.pk/product/patriot-32gb-signature-line-ddr5-5600-mhz-so-dimm-memory/
zahcomputers,ADATA,ADATA 32GB  5600MHz C46 DDR5 SO-DIMM Laptop Memory,ram,105000.0,https://zahcomputers.pk/product/adata-32gb-5600mhz-c46-ddr5-so-dimm-laptop-memory/
zahcomputers,ADATA,ADATA 16GB 5600MHz C46 DDR5 SO-DIMM Laptop Memory,ram,55999.0,https://zahcomputers.pk/product/adata-16gb-5600mhz-c46-ddr5-so-dimm-laptop-memory/
zahcomputers,ADATA,ADATA Premier 8GB 5600MHz SO-DIMM DDR5 Laptop Memory,ram,30499.0,https://zahcomputers.pk/product/adata-premier-8gb-5600mhz-so-dimm-ddr5-laptop-memory/
zahcomputers,ADATA,ADATA Premier 32GB 3200MHz C22 DDR4 SO-DIMM Memory,ram,59499.0,https://zahcomputers.pk/product/adata-premier-32gb-3200mhz-c22-ddr4-so-dimm-memory/
zahcomputers,ADATA,ADATA Premier 32GB 3200MHz C22 DDR4 U-DIMM Memory,ram,59499.0,https://zahcomputers.pk/product/adata-premier-32gb-3200mhz-c22-ddr4-u-dimm-memory/
zahcomputers,ADATA,ADATA Premier 16GB 3200MHz C22 DDR4 SO-DIMM Memory,ram,30999.0,https://zahcomputers.pk/product/adata-premier-16gb-3200mhz-c22-ddr4-so-dimm-memory/
zahcomputers,ADATA,ADATA Premier 16GB 3200MHz C22 DDR4 U-DIMM Memory,ram,30999.0,https://zahcomputers.pk/product/adata-premier-16gb-3200mhz-c22-ddr4-u-dimm-memory/
zahcomputers,ADATA,ADATA Premier 8GB 3200MHz C22 DDR4 U-DIMM Memory,ram,15999.0,https://zahcomputers.pk/product/adata-premier-8gb-3200mhz-c22-ddr4-u-dimm-memory/
zahcomputers,Lexar,Lexar 16GB (1x16GB) 5600MT/s DDR5 UDIMM Desktop Memory,ram,55000.0,https://zahcomputers.pk/product/lexar-16gb-1x16gb-5600mt-s-ddr5-udimm-desktop-memory/
zahcomputers,Transcend,Transcend 32GB (1x32GB) 6400MHz C52 U-DIMM DDR5 Desktop Memory,ram,122000.0,https://zahcomputers.pk/product/transcend-32gb-1x32gb-6400mhz-c52-u-dimm-ddr5-desktop-memory/
zahcomputers,Transcend,Transcend 32GB (1x32GB) 5600MHz C46 SO-DIMM DDR5 Laptop Memory,ram,119000.0,https://zahcomputers.pk/product/transcend-32gb-1x32gb-5600mhz-c46-so-dimm-ddr5-laptop-memory/
zahcomputers,Transcend,Transcend 32GB (1x32GB) 5600MHz C46 U-DIMM DDR5 Desktop Memory,ram,119000.0,https://zahcomputers.pk/product/transcend-32gb-1x32gb-5600mhz-c46-u-dimm-ddr5-desktop-memory/
zahcomputers,Transcend,Transcend JetRam 16GB (1x16GB) 6400MHz C52 DDR5 SO-DIMM Laptop Memory,ram,113000.0,https://zahcomputers.pk/product/transcend-jetram-16gb-1x16gb-6400mhz-c52-ddr5-so-dimm-laptop-memory/
