retailer,manufacturer,product_name,category,price,url
zahcomputers,Adata,Adata Ultimate SU650 1TB 2.5″ SATA SSD,ssd,32999.0,https://zahcomputers.pk/product/adata-ultimate-su650-1tb-2-5-sata-ssd/
zahcomputers,Western,Western Digital Internal Hard Drive 18TB 3.5″ Ultrastar,ssd,135000.0,https://zahcomputers.pk/product/western-digital-internal-hard-drive-18tb-3-5%e2%80%b3-ultrastar/
zahcomputers,Kingston,Kingston XS2000 500GB High Performance Portable SSD,ssd,22000.0,https://zahcomputers.pk/product/kingston-xs2000-500gb-high-performance-portable-ssd/
zahcomputers,WD,"WD Blue SN5000 NVMe SSD 500GB Gen4 Sequential Read Performance 5,150MB/s WDS500G4B0E",ssd,25500.0,https://zahcomputers.pk/product/wd-blue-sn5000-nvme-ssd-500gb-gen4-sequential-read-performance-5150mb-s-wds500g4b0e/
zahcomputers,WD,WD Blue SN5100 500GB Gen4 NVMe M.2 SSD,ssd,29500.0,https://zahcomputers.pk/product/wd-blue-sn5100-500gb-gen4-nvme-m-2-ssd/
zahcomputers,Amaze,Amaze A227 Thunderbolt 4 M.2 NVME SSD Enclosure,ssd,13299.0,https://zahcomputers.pk/product/amaze-a227-thunderbolt-4-m-2-nvme-ssd-enclosure/
zahcomputers,WD,WD Blue 4TB 3.5″ SATA Hard Drive – Pulled,ssd,26000.0,https://zahcomputers.pk/product/wd-blue-4tb-3-5-sata-hard-drive-pulled/
zahcomputers,ADATA,ADATA ED600 External 2.5″ SSD/HDD Enclosure,ssd,2700.0,https://zahcomputers.pk/product/adata-ed600-external-2-5-ssd-hdd-enclosure/
zahcomputers,ADATA,ADATA Legend 970 4000GB PCIe Gen5 x4 M.2 2280 Solid State Drive,ssd,150999.0,https://zahcomputers.pk/product/adata-legend-970-4000gb-pcie-gen5-x4-m-2-2280-solid-state-drive/
zahcomputers,ADATA,ADATA Legend 970 2000GB PCIe Gen5 x4 M.2 2280 Solid State Drive,ssd,86499.0,https://zahcomputers.pk/product/adata-legend-970-2000gb-pcie-gen5-x4-m-2-2280-solid-state-drive/
zahcomputers,ADATA,ADATA Legend 970 1000GB PCIe Gen5 x4 M.2 2280 Solid State Drive,ssd,48499.0,https://zahcomputers.pk/product/adata-legend-970-1000gb-pcie-gen5-x4-m-2-2280-solid-state-drive/
zahcomputers,ADATA,ADATA Legend 860 2000GB PCIe Gen4 x4 M.2 2280 Solid State Drive,ssd,84499.0,https://zahcomputers.pk/product/adata-legend-860-2000gb-pcie-gen4-x4-m-2-2280-solid-state-drive/
zahcomputers,ADATA,ADATA Legend 860 1000GB PCIe Gen4 x4 M.2 2280 Solid State Drive,ssd,40499.0,https://zahcomputers.pk/product/adata-legend-860-1000gb-pcie-gen4-x4-m-2-2280-solid-state-drive/
